area,depth,baseline,season,season_year,n_hw_days,cum_intensity,mean_intensity,max_intensity,n_events,mean_duration,max_duration,mean_peak_intensity,max_peak_intensity,mean_event_severity,mean_gap_days_between_events,median_gap_days_between_events,n_hw_days_u,cum_intensity_u,delta_n_hw_days_unsmoothed,delta_cum_intensity_unsmoothed,n_hw_days_p2p5,n_hw_days_p50,n_hw_days_p97p5,cum_int_p2p5,cum_int_p50,cum_int_p97p5
SD22,bottom,A,MAM,1958,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1958,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1959,11,1.1353431218816699,0.10321301108015181,0.19589992872415962,1,11,11,0.19589992872415962,0.19589992872415962,1,NA,NA,12,1.8564913756236496,-1,-0.7211482537419798,0,10,27,0,1.0329062722736997,2.842714347826057
SD22,bottom,A,JJA,1959,50,18.745588168210883,0.3749117633642176,0.7013637918746003,2,25,44,0.5525820028510502,0.7013637918746003,1,6,6,37,16.51457291518159,13,2.2310152530292946,28,50,70,8.910287056307768,18.62368713471126,29.40936747861712
SD22,bottom,A,MAM,1959,2,0.13733292943692987,0.06866646471846494,0.09615495367070981,1,2,2,0.09615495367070981,0.09615495367070981,1,NA,NA,2,0.21293292943693043,0,-0.07560000000000056,0,2,6,0,0.13733292943692987,0.4119987883107896
SD22,bottom,A,SON,1959,48,24.270039272986622,0.5056258181872214,0.8242654312187998,1,48,48,0.8242654312187998,0.8242654312187998,1.1666666666666667,NA,NA,47,23.329486457591017,1,0.9405528153956055,24,48,71,10.363526974340889,23.504253064861143,38.46857127940188
SD22,bottom,A,DJF,1960,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1960,6,0.8352622950818986,0.13921038251364978,0.14942280826800136,1,6,6,0.14942280826800136,0.14942280826800136,1,NA,NA,0,0,6,0.8352622950818986,0,6,17,0,0.8290943692087982,2.366793937989833
SD22,bottom,A,MAM,1960,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1960,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1961,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1961,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1961,14,1.1823156094084002,0.08445111495774286,0.14646849607982926,1,14,14,0.14646849607982926,0.14646849607982926,1,NA,NA,8,0.41084176764074876,6,0.7714738417676514,0,14,33,0,1.129111332858166,3.038620490021348
SD22,bottom,A,SON,1961,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1962,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1962,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1962,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1962,17,2.3021850320741084,0.1354226489455358,0.19703692088381963,1,17,17,0.19703692088381963,0.19703692088381963,1,NA,NA,17,0.9964161796150961,0,1.3057688524590123,1,16,35.02499999999998,0.004199714896650164,2.167957697790425,5.101276229508151
SD22,bottom,A,DJF,1963,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1963,8,2.168003777619397,0.2710004722024246,0.40586436208130117,1,8,8,0.40586436208130117,0.40586436208130117,1,NA,NA,8,1.6152037776193993,0,0.5527999999999977,0,7,21,0,1.8341796863862978,5.669413362437686
SD22,bottom,A,MAM,1963,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1963,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1964,54,10.469178902352084,0.19387368337689045,0.4981476835352794,2,27,44,0.37971863863150457,0.4981476835352794,1,11,11,49,10.143696222380594,5,0.32548267997148983,32,54,76,5.100787359230239,10.337327120456163,16.73382516037062
SD22,bottom,A,JJA,1964,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1964,6,0.6172080541696419,0.10286800902827364,0.1612915894511806,1,6,6,0.1612915894511806,0.1612915894511806,1,NA,NA,5,0.5725919458303732,1,0.044616108339268656,0,6,17,0,0.603591945830372,1.8024410744832655
SD22,bottom,A,SON,1964,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1965,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1965,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1965,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1965,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1966,35,10.124728795438337,0.28927796558395247,0.6867031361368499,3,11.666666666666666,17,0.4292358992634835,0.6867031361368499,1,14.5,14.5,32,10.261614611546676,3,-0.1368858161083395,17,35,54.02499999999998,3.2514877120456,9.78525577334284,18.342351826443316
SD22,bottom,A,JJA,1966,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1966,21,7.355580256592997,0.35026572650442844,0.5367443335709199,1,21,21,0.5367443335709199,0.5367443335709199,1,NA,NA,20,6.630627797576607,1,0.7249524590163903,5,20,40.02499999999998,0.6273459016393392,6.830789486813947,15.440422557020625
SD22,bottom,A,SON,1966,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1967,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1967,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1967,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1967,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1968,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1968,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1968,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1968,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1969,16,3.611313756236629,0.2257071097647893,0.3072979330007106,1,16,16,0.3072979330007106,0.3072979330007106,1,NA,NA,17,3.2963253741981378,-1,0.3149883820384911,0,15,35.02499999999998,0,3.361276799714889,8.465984624019912
SD22,bottom,A,JJA,1969,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1969,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1969,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1970,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1970,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1970,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1970,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1971,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1971,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1971,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1971,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1972,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1972,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1972,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1972,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1973,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1973,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1973,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
